id,dimensionName,dimensionValueID,dimensionValueDescription
CL_ETA1,Classe di età,Y0-9,0-9 anni
CL_ETA1,Classe di età,Y_UN17,fino a 17 anni
CL_ETA1,Classe di età,Y35-49,35-49 anni
CL_ETA1,Classe di età,Y_GE15,15 anni e più
CL_ETA1,Classe di età,M0,0 mesi
CL_ETA1,Classe di età,Y30-54,30-54 anni
CL_ETA1,Classe di età,Y_GE55,55 anni e più
CL_ETA1,Classe di età,Y2,2 anni
CL_ETA1,Classe di età,Y_GE60,60 anni e più
CL_ETA1,Classe di età,Y_GE3,3 anni e più
CL_ETA1,Classe di età,M7,7 mesi
CL_ETA1,Classe di età,Y30-34,30-34 anni
CL_ETA1,Classe di età,Y105,105 anni
CL_ETA1,Classe di età,Y_GE90,90 anni e più
CL_ETA1,Classe di età,Y66,66 anni
CL_ETA1,Classe di età,Y15-44,15-44 anni
CL_ETA1,Classe di età,Y_GE56,56 anni e più
CL_ETA1,Classe di età,Y65-84,65-84 anni
CL_ETA1,Classe di età,Y6-16,6-16 anni
CL_ETA1,Classe di età,Y58,58 anni
CL_ETA1,Classe di età,Y1,1 anni
CL_ETA1,Classe di età,Y45-49,45-49 anni
CL_ETA1,Classe di età,Y50-54,50-54 anni
CL_ETA1,Classe di età,Y41-55,41-55 anni
CL_ETA1,Classe di età,Y80-89,80-89 anni
CL_ETA1,Classe di età,Y25-34,25-34 anni
CL_ETA1,Classe di età,Y117,117 anni
CL_ETA1,Classe di età,Y18-20,18-20 anni
CL_ETA1,Classe di età,Y39,39 anni
CL_ETA1,Classe di età,Y75-84,75-84 anni
CL_ETA1,Classe di età,Y35-64,35-64 anni
CL_ETA1,Classe di età,Y_GE21,21 anni e più
CL_ETA1,Classe di età,Y1-9,1-9 anni
CL_ETA1,Classe di età,Y35-39,35-39 anni
CL_ETA1,Classe di età,Y99,99 anni
CL_ETA1,Classe di età,Y55,55 anni
CL_ETA1,Classe di età,Y6-13,6-13 anni
CL_ETA1,Classe di età,D21-27,21-27 giorni
CL_ETA1,Classe di età,Y_GE110,110 anni e più
CL_ETA1,Classe di età,Y28-29,28-29 anni
CL_ETA1,Classe di età,Y41,41 anni
CL_ETA1,Classe di età,Y_UN4,fino a 4 anni
CL_ETA1,Classe di età,Y16-34,16-34 anni
CL_ETA1,Classe di età,Y103,103 anni
CL_ETA1,Classe di età,Y_GE20,20 anni e più
CL_ETA1,Classe di età,Y25-64,25-64 anni
CL_ETA1,Classe di età,Y_GE120,120 anni e più
CL_ETA1,Classe di età,Y_GE75,75 anni e più
CL_ETA1,Classe di età,Y115,115 anni
CL_ETA1,Classe di età,Y_GE25,25 anni e più
CL_ETA1,Classe di età,Y113,113 anni
CL_ETA1,Classe di età,NSP,non indicato
CL_ETA1,Classe di età,Y16-24,16-24 anni
CL_ETA1,Classe di età,Y15-34,15-34 anni
CL_ETA1,Classe di età,Y65-74,65-74 anni
CL_ETA1,Classe di età,Y6-9,6-9 anni
CL_ETA1,Classe di età,Y_GE14,14 anni e più
CL_ETA1,Classe di età,Y0-5,0-5 anni
CL_ETA1,Classe di età,Y36-45,36-45 anni
CL_ETA1,Classe di età,Y116,116 anni
CL_ETA1,Classe di età,Y11-24,11-24 anni
CL_ETA1,Classe di età,Y11,11 anni
CL_ETA1,Classe di età,Y24,24 anni
CL_ETA1,Classe di età,M6,6 mesi
CL_ETA1,Classe di età,Y50,50 anni
CL_ETA1,Classe di età,Y118,118 anni
CL_ETA1,Classe di età,Y10-19,10-19 anni
CL_ETA1,Classe di età,Y15-24,15-24 anni
CL_ETA1,Classe di età,D2,2 giorni
CL_ETA1,Classe di età,Y94,94 anni
CL_ETA1,Classe di età,Y106,106 anni
CL_ETA1,Classe di età,Y35-44,35-44 anni
CL_ETA1,Classe di età,Y_UN20,fino a 20 anni
CL_ETA1,Classe di età,Y16-19,16-19 anni
CL_ETA1,Classe di età,Y70-79,70-79 anni
CL_ETA1,Classe di età,Y88,88 anni
CL_ETA1,Classe di età,Y45,45 anni
CL_ETA1,Classe di età,Y65-70,65-70 anni
CL_ETA1,Classe di età,Y5,5 anni
CL_ETA1,Classe di età,Y18-34,18-34 anni
CL_ETA1,Classe di età,Y11-14,11-14 anni
CL_ETA1,Classe di età,Y_GE80,80 anni e più
CL_ETA1,Classe di età,Y19-34,19-34 anni
CL_ETA1,Classe di età,Y19-29,19-29 anni
CL_ETA1,Classe di età,Y0-2,0-2 anni
